id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant,gtin,quantity_to_sell_on_facebook,rich_text_description,internal_label,external_update_time,external_variant_id, is_woo_all_products_sync
wc_post_id_1812,"Stuffed Red Chillies Pickle","Stuffed Red Chillies Pickle is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/condiment-flavor-based-chili-pepper-scaled.jpg,https://biharkeswaad.shop/product/bihari-stuffed-red-chillies-pickle-homemade/,"Pickles","Bihar Ke Swaad","1200INR","in stock",wc_post_id_1812,,,"/","900INR",new,"published",,,,,,,,,,"Stuffed Red Chillies Pickle is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750518517,1812,
wc_post_id_1773,"Gaja | गाजा","Gaja | गाजा is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Gaja.png,https://biharkeswaad.shop/product/bihari-gaja-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","500INR","in stock",wc_post_id_1773,,"https://biharkeswaad.shop/wp-content/uploads/2025/06/Gaja-1.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Gaja-2.png","/","400INR",new,"published",,,,,,,,,,"Gaja | गाजा is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750524672,1773,
wc_post_id_1772,"Namak Para | Nimki (Maida) | नमक पारा | निमकी (मैदा)","Namak Para | Nimki (Maida) | नमक पारा | निमकी (मैदा) is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Namak-Para.jpg,https://biharkeswaad.shop/product/bihari-namak-para-maida-nimki-homemade/,"Salty Snacks, Snacks","Bihar Ke Swaad","500INR","in stock",wc_post_id_1772,,,"/","400INR",new,"published",,,,,,,,,,"Namak Para | Nimki (Maida) | नमक पारा | निमकी (मैदा) is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750518068,1772,
wc_post_id_1770,"Mathri (Maida) | मठरी (मैदा)","Mathri (Maida) | मठरी (मैदा) is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Maida-Mathri-e1750528480513.png,https://biharkeswaad.shop/product/bihari-maida-mathri-homemade/,"Salty Snacks, Snacks","Bihar Ke Swaad","2000INR","in stock",wc_post_id_1770,,,"/","1600INR",new,"published",,,,,,,,,,"Mathri (Maida) | मठरी (मैदा) is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750528882,1770,
wc_post_id_1769,"Mathri (Atta) | मठरी (आटा)","Mathri (Atta) | मठरी (आटा) is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Atta-Mathri-e1750528077827.png,https://biharkeswaad.shop/product/bihari-atta-mathri-homemade/,"Salty Snacks, Snacks","Bihar Ke Swaad","500INR","in stock",wc_post_id_1769,,,"/","400INR",new,"published",,,,,,,,,,"Mathri (Atta) | मठरी (आटा) is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750528099,1769,
wc_post_id_1768,"Khaja | खाजा","Khaja | खाजा is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Khaja-e1750526919275.png,https://biharkeswaad.shop/product/bihari-khaja-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","800INR","in stock",wc_post_id_1768,,,"/","600INR",new,"published",,,,,,,,,,"Khaja | खाजा is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750526937,1768,
wc_post_id_87,"Shakkar Para | शक्कर पारा","Shakkar Para | शक्कर पारा is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Shakkar-Para-scaled.jpg,https://biharkeswaad.shop/product/bihari-shakkar-para-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","600INR","in stock",wc_post_id_87,,,"/","450INR",new,"published",,,,,,,,,,"Shakkar Para | शक्कर पारा is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750518154,87,
wc_post_id_86,"Jaggery Thekua | गुड़ ठेकुआ | Khajuria | Tikari | Thokni","Thekua, Bihar’s most iconic sweet snack, is made with wheat flour, jaggery, and coconut. Crispy on the outside and soft within, it’s offered during Chhath Puja and enjoyed year-round. Prepared in small batches with love and tradition.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Thekua.png,https://biharkeswaad.shop/product/bihari-ghee-jaggery-thekua-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","800INR","in stock",wc_post_id_86,,"https://biharkeswaad.shop/wp-content/uploads/2025/06/Thekua_Prasadam_of_Chhath_Puja-scaled.jpg,https://biharkeswaad.shop/wp-content/uploads/2025/06/Chhath_Puja_Prasad-scaled.jpg,https://biharkeswaad.shop/wp-content/uploads/2025/06/Thekua-scaled.jpg","/","600INR",new,"published",,,,,,,,,,"Thekua, Bihar’s most iconic sweet snack, is made with wheat flour, jaggery, and coconut. Crispy on the outside and soft within, it’s offered during Chhath Puja and enjoyed year-round. Prepared in small batches with love and tradition.",['shipping_class_33'],1750526680,86,
wc_post_id_85,"Mango Pickle | आम का अचार","Mango Pickle | आम का अचार is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Mango-Pickle.jpg,https://biharkeswaad.shop/product/bihari-mango-pickle-homemade/,"Pickles","Bihar Ke Swaad","1200INR","in stock",wc_post_id_85,,,"/","900INR",new,"published",,,,,,,,,,"Mango Pickle | आम का अचार is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750518756,85,
wc_post_id_84,"Stuffed Mango Pickle | भरवां आम का अचार","Stuffed Mango Pickle | भरवां आम का अचार is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Stuffed-Mango-Pickle.webp,https://biharkeswaad.shop/product/bihari-stuffed-mango-pickle-homemade/,"Pickles","Bihar Ke Swaad","1200INR","in stock",wc_post_id_84,,,"/","900INR",new,"published",,,,,,,,,,"Stuffed Mango Pickle | भरवां आम का अचार is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750518797,84,
wc_post_id_83,"Mango-Jackfruit Pickle | आम-कटहल का अचार","Mango-Jackfruit Pickle | आम-कटहल का अचार is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Mango-Jackfruit-Pickle.webp,https://biharkeswaad.shop/product/bihari-mango-jackfruit-pickle-homemade/,"Pickles","Bihar Ke Swaad","1200INR","in stock",wc_post_id_83,,,"/","900INR",new,"published",,,,,,,,,,"Mango-Jackfruit Pickle | आम-कटहल का अचार is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750518607,83,
wc_post_id_82,"Pedakia | Dry Fruit Khowa Gujiya | पेड़किया | ड्राई फ्रूट खोवा गुजिया","Pedakia | Dry Fruit Khowa Gujiya | पेड़किया | ड्राई फ्रूट खोवा गुजिया is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Gujhia.jpg,https://biharkeswaad.shop/product/bihari-pedakia-dry-fruit-khowa-gujiya-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","1250INR","in stock",wc_post_id_82,,,"/","900INR",new,"published",,,,,,,,,,"Pedakia | Dry Fruit Khowa Gujiya | पेड़किया | ड्राई फ्रूट खोवा गुजिया is a classic Bihari homemade item prepared with love and traditional techniques. Each batch is made using quality ingredients to retain authentic taste and nostalgic memories. Perfect for festive treats or daily snacking.",['shipping_class_33'],1750517763,82,
wc_post_id_81,"Anarsa | अनरसा","Anarsa is a festive Bihari sweet made with rice flour and jaggery, coated in poppy seeds and deep-fried to perfection. Each bite offers a nutty crunch and mellow sweetness. Handmade with traditional methods, Anarsa is perfect for special occasions and festive boxes.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Anarsa.png,https://biharkeswaad.shop/product/bihari-anarsa-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","1000INR","in stock",wc_post_id_81,,"https://biharkeswaad.shop/wp-content/uploads/2025/06/Anarsa-2.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Anarsa-3.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Anarsa-5.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Anarsa-4.png","/","800INR",new,"published",,,,,,,,,,"Anarsa is a festive Bihari sweet made with rice flour and jaggery, coated in poppy seeds and deep-fried to perfection. Each bite offers a nutty crunch and mellow sweetness. Handmade with traditional methods, Anarsa is perfect for special occasions and festive boxes.",['shipping_class_33'],1750522511,81,
wc_post_id_80,"Mudhi Lai | मुढ़ी लाई","Mudhi Lai is a beloved Bihari treat made with puffed rice (mudhi) and molten jaggery. Shaped into crunchy, sweet balls, they bring back the essence of rural Bihar. These guilt-free sweets are handmade using fresh jaggery and locally sourced rice, making them a simple yet wholesome snack.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Murhi-Lai-e1750528960827.png,https://biharkeswaad.shop/product/bihari-mudhi-lai-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","600INR","in stock",wc_post_id_80,,,"/","400INR",new,"published",,,,,,,,,,"Mudhi Lai is a beloved Bihari treat made with puffed rice (mudhi) and molten jaggery. Shaped into crunchy, sweet balls, they bring back the essence of rural Bihar. These guilt-free sweets are handmade using fresh jaggery and locally sourced rice, making them a simple yet wholesome snack.",['shipping_class_33'],1750528986,80,
wc_post_id_78,"Namak Para | Nimki (Atta) | नमक पारा | निमकी (आटा)","Namak Para, also known as Nimki in Bihar, is a crunchy, salty snack perfect with evening chai. Made using whole wheat (atta) and seasoned with carom seeds (ajwain), these golden diamond-shaped bites are deep-fried till crisp. A favorite during festivals and family gatherings.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Namak-Para.jpg,https://biharkeswaad.shop/product/bihari-namak-para-atta-nimki-homemade/,"Salty Snacks, Snacks","Bihar Ke Swaad","500INR","in stock",wc_post_id_78,,,"/","400INR",new,"published",,,,,,,,,,"Namak Para, also known as Nimki in Bihar, is a crunchy, salty snack perfect with evening chai. Made using whole wheat (atta) and seasoned with carom seeds (ajwain), these golden diamond-shaped bites are deep-fried till crisp. A favorite during festivals and family gatherings.",['shipping_class_33'],1750519043,78,
wc_post_id_77,"Pantua | पन्तुआ","Pantua is Bihar’s cousin to the Gulab Jamun — deeper in color and richer in taste. Made from khoya and deep-fried to perfection, it is soaked in cardamom-infused syrup and served warm or cold. Each bite is soft, juicy, and nostalgic, crafted in small batches at Bihar Ke Swaad’s home kitchen.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Pantua_of_Bengal-scaled.jpg,https://biharkeswaad.shop/product/bihari-pantua-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","750INR","in stock",wc_post_id_77,,,"/","600INR",new,"published",,,,,,,,,,"Pantua is Bihar’s cousin to the Gulab Jamun — deeper in color and richer in taste. Made from khoya and deep-fried to perfection, it is soaked in cardamom-infused syrup and served warm or cold. Each bite is soft, juicy, and nostalgic, crafted in small batches at Bihar Ke Swaad’s home kitchen.",['shipping_class_33'],1750519927,77,
wc_post_id_76,"Laung Lata | लौंग लता","Laung Lata is a traditional Bihari dessert filled with khoya and dry fruits, wrapped in a crispy pastry and soaked in flavored sugar syrup. Known for its signature clove (laung) in the center, this sweet delivers rich texture and festive warmth. Handmade with care, it’s an iconic delicacy from Bihar’s sweet heritage.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Laung-Lata-e1750527695750.png,https://biharkeswaad.shop/product/bihari-laung-lata-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","800INR","in stock",wc_post_id_76,,,"/","600INR",new,"published",,,,,,,,,,"Laung Lata is a traditional Bihari dessert filled with khoya and dry fruits, wrapped in a crispy pastry and soaked in flavored sugar syrup. Known for its signature clove (laung) in the center, this sweet delivers rich texture and festive warmth. Handmade with care, it’s an iconic delicacy from Bihar’s sweet heritage.",['shipping_class_33'],1750527717,76,
wc_post_id_75,"Balushahi | बालूशाही","Balushahi, a flaky and golden sweet from Bihar, is a celebration in every bite. Prepared with pure desi ghee and dipped in sugar syrup, it’s a festive favorite that melts in your mouth. At Bihar Ke Swaad, every Balushahi is handmade using traditional recipes and high-quality ingredients, ensuring authenticity and taste that reminds you of home.",https://biharkeswaad.shop/wp-content/uploads/2025/06/Balushahi.png,https://biharkeswaad.shop/product/bihari-ghee-balushahi-homemade/,"Snacks, Sweet Snacks","Bihar Ke Swaad","1000INR","in stock",wc_post_id_75,,"https://biharkeswaad.shop/wp-content/uploads/2025/06/Balushahi-2.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Balushahi-3.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Balushahi-4.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Balushahi-5.png,https://biharkeswaad.shop/wp-content/uploads/2025/06/Balushahi-6.png","/","800INR",new,"published",,,,,,,,,,"Balushahi, a flaky and golden sweet from Bihar, is a celebration in every bite. Prepared with pure desi ghee and dipped in sugar syrup, it’s a festive favorite that melts in your mouth. At Bihar Ke Swaad, every Balushahi is handmade using traditional recipes and high-quality ingredients, ensuring authenticity and taste that reminds you of home.",['shipping_class_33'],1750522958,75,
